"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_X","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name","post_error","rmsd","rmsd_diameter"
"run_izwz2s7w","finished","-","adelemyers","","2023-08-11T01:24:27.000Z","871","","synthetic_mesh","162000","1280","5","5","642","0.5","3","-3813823483887.397","-5940535021.631459","-569.7210810184479","-0.8874160140474266","-281.4376678466797","-0.08767528593354508","49.1197177145439","0.00030320813404039447","3813825740034.957","5940538535.879994","281.4379904270172","569.7212910652161","0.887416341223078","0.00032258033752441406","2256147.559444374","3514.248534960084","0.00021004676818847656","3.271756513839199e-7","-1690414.0280729844","-2712353.472190693","-872457.6023651146","-271.79364559660894","run_izwz2s7w","true","2782.9690629657193","0.0171788213763316"
"run_l3rmpj75","finished","-","adelemyers","","2023-08-11T01:17:04.000Z","441","","synthetic_mesh","5400","320","5","5","162","0.5","2","-285864384.04625577","-1764594.9632484925","-198.9125804901123","-1.22785543512415","-227.7762303352356","-0.2812052226360933","9.822959763191164","0.001819066622813179","285888154.9478865","1764741.697209176","227.7764856815338","198.91273307800293","1.2278563770247095","0.00025534629821777344","23770.901630778662","146.7339606838189","0.000152587890625","9.419005594135802e-7","-12025.811577803905","-1303593.4875","-892028.7152194211","-1101.2700187894088","run_l3rmpj75","true","279.5663359428506","0.05177154369312049"
"run_8xebni3o","finished","-","adelemyers","","2023-08-11T01:15:09.000Z","113","","synthetic_mesh","180","80","5","5","42","0.5","1","-19817.787640208186","-471.85208667162345","-63.29510951042175","-1.5070264169148035","-37.69113111495972","-0.1794815767379034","1.2007730353052888","0.006670961307251604","20214.150899396856","481.2893071284966","37.69144606590271","63.295395851135254","1.5070332345508397","0.00031495094299316406","396.36325918867095","9.437220456873115","0.00028634071350097656","0.000006817636035737537","-49.999053092796416","-221048.2356369692","-119673.02195306588","-569.8715331098374","run_8xebni3o","true","17.400854441274372","0.0966714135626354"
"run_wvgx4jre","finished","-","adelemyers","","2023-08-11T00:57:21.000Z","1066","","synthetic_mesh","162000","1280","3","5","642","0.5","3","-3793371461725.544","-5908678289.292126","-931.272581100464","-1.450580344393246","-116.99371218681335","-0.036446639310533754","18.58331483434572","0.00011471181996509703","3793374134272.522","5908682452.137885","116.9940538406372","931.2728028297424","1.450580689765954","0.00034165382385253906","2672546.9775383943","4162.845759405599","0.00022172927856445312","3.453727080443195e-7","-1419384.3900994807","-4200043.34623656","-342433.4926727146","-106.67710052109489","run_wvgx4jre","true","1052.8723021554172","0.006499211741700106"
"run_7yed6vl9","finished","-","adelemyers","","2023-08-11T00:52:03.000Z","316","","synthetic_mesh","5400","320","3","5","162","0.5","2","-258201360.01425335","-1593835.5556435394","-204.157155752182","-1.2602293564949507","-98.91412091255188","-0.12211619865747146","4.141484550069349","0.0007669415833461758","258233006.5946677","1594030.9049053562","98.91441988945007","204.1573491096497","1.260230550059566","0.0002989768981933594","31646.58041431448","195.34926181675607","0.0001933574676513672","0.000001193564615131896","-8158.902372196363","-1055853.4833538842","-330842.01993620413","-408.4469381928446","run_7yed6vl9","true","117.86871665355116","0.021827540121027993"
"run_yqwx7tzh","finished","-","adelemyers","","2023-08-11T00:51:00.000Z","61","","synthetic_mesh","180","80","3","5","42","0.5","1","-17249.39093982242","-410.6997842814862","-37.15599060058594","-0.8846664428710938","-11.909934997558594","-0.05671397617885045","0.5878841447858039","0.003266023026587799","17804.805730468288","423.9239459635307","11.910142421722412","37.15634489059448","0.8846748783474877","0.00020742416381835935","555.414790645868","13.224161682044477","0.0003542900085449219","0.000008435476393926711","-31.056772758542937","-104874.50874831765","-57418.26206896552","-273.42029556650243","run_yqwx7tzh","true","8.519250625202464","0.047329170140013685"
"run_11i99aij","finished","-","adelemyers","","2023-08-11T00:13:25.000Z","2253","","synthetic_mesh","162000","1280","20","5","642","0.1","3","-790236284366.6461","-1230897639.2003834","-770.618542432785","-1.2003404087738083","-1464.965482711792","-0.45637553978560497","20.063824226732095","0.0001238507668316796","790236808298.5332","1230898455.2936654","1464.9657490253448","770.6187694072723","1.2003407623166236","0.0002663135528564453","523931.88713031687","816.09328213445","0.0002269744873046875","3.535428151163357e-7","-1508280.568100051","-3395176.9275210085","-5500904.730528201","-1713.677486145857","run_11i99aij","true","1136.7533183368578","0.007016995792202826"
"run_wiqtt0qn","finished","-","adelemyers","","2023-08-10T23:55:17.000Z","1086","","synthetic_mesh","5400","320","20","5","162","0.1","2","-56596614.60364634","-349361.8185410268","-207.98876118659973","-1.283881241892591","-862.4004466533661","-1.0646919094486","1.737942510561749","0.0003218412056595831","56605612.06612026","349417.3584328411","862.4006989002228","207.98897767066956","1.2838825782140095","0.0002522468566894531","8997.46247392456","55.53989181434913","0.00021648406982421875","0.000001336321418668017","-6290.28626322903","-960757.8116740088","-3418874.8988657845","-4220.833208476277","run_wiqtt0qn","true","49.4627109822573","0.009159761293010611"
"run_auw14984","finished","-","adelemyers","","2023-08-10T23:50:31.000Z","284","","synthetic_mesh","180","80","20","5","42","0.1","1","-32294.594256039312","-768.9189108580789","-45.20381474494934","-1.076281303451175","-224.86884713172913","-1.0708040339606149","0.07033957161510351","0.0003907753978616862","32464.39871794719","772.9618742368378","224.86908078193665","45.203917264938354","1.0762837444032942","0.00023365020751953125","169.8044619078789","4.042963378759022","0.00010251998901367188","0.0000024409521193731397","-190.18695912454612","-440926.83953488374","-962416.637755102","-4582.9363702623905","run_auw14984","true","1.0193172324400377","0.005662873513555765"
"run_0750jqxt","finished","-","adelemyers","","2023-08-10T23:27:00.000Z","1409","","synthetic_mesh","162000","1280","8","5","642","0.1","3","-730373445937.1053","-1137653342.581161","-906.1316964626312","-1.4114200879480236","-483.2049758434296","-0.15053114512256371","54.5289479575482","0.0003365984441823963","730373897278.8591","1137654045.6056995","483.2052538394928","906.1319410800934","1.4114204689721082","0.0002779960632324219","451341.7537582806","703.0245385643","0.0002446174621582031","3.8102408435857186e-7","-1618227.0748393072","-3704280.5058479537","-1738172.0094339622","-541.4866073002997","run_0750jqxt","true","3089.439073811938","0.01907061156674036"
