"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dataset_name","diameter","n_faces","n_steps","n_times","n_vertices","noise_factor","subdivisions","diff_dist","diff_dist_per_vertex","diff_duration","diff_duration_per_vertex","diff_seq_duration","diff_seq_duration_per_time_and_vertex","diff_seq_per_time_and_vertex","diff_seq_per_time_vertex_diameter","geodesic_dist","geodesic_dist_per_vertex","geodesic_duration","geodesic_regression_duration","geodesic_regression_duration_per_vertex","line_duration","linear_dist","linear_dist_per_vertex","linear_regression_duration","linear_regression_duration_per_vertex","relative_diff_dist","relative_diff_duration","relative_diff_seq_duration","relative_diff_seq_per_time_and_vertex","run_name"
"run_ewbghet2","finished","-","ninamiolane","","2023-07-04T11:09:59.000Z","2934","","synthetic","162000","1280","3","5","642","1","3","-1623843232284603.5","-2529350829103.7437","-1345.5270328521729","-2.0958364997697396","-1565.8899652957916","-0.4878161885656672","3091.7105512163653","0.019084633032199785","1623843239561626.5","2529350840438.6704","1565.8902480602264","1345.5271801948547","2.0958367292754745","0.0002827644348144531","7277022.879327057","11334.926603313172","0.00014734268188476562","2.2950573502299941e-7","-223146643.7872143","-9131956.98381877","-5537789.666947723","-1725.168120544462","run_ewbghet2"
"run_lylizhkc","finished","-","ninamiolane","","2023-07-04T11:00:25.000Z","572","","synthetic","5400","320","3","10","162","1","2","-48858170319.44783","-301593643.9472088","-148.9406225681305","-0.919386559062534","-410.0646603107453","-0.2531263335251514","143.40495848281583","0.026556473793114044","48858294809.69632","301594412.40553284","410.0649998188019","148.94074702262878","0.9193873273001776","0.000339508056640625","124490.24848837688","768.4583240023264","0.00012445449829101562","7.682376437717014e-7","-392465.84300945874","-1196747.603448276","-1207820.1158707866","-745.5679727597449","run_lylizhkc"
"run_o6r7w7m9","finished","-","ninamiolane","","2023-07-04T10:54:00.000Z","384","","synthetic","5400","320","3","5","162","1","2","-56893641270.76232","-351195316.48618716","-145.17714858055115","-0.8961552381515503","-224.93244576454163","-0.2776943774870884","209.00043075592237","0.03870378347331896","56893765404.76942","351196082.74549025","224.93268036842343","145.1772825717926","0.896156065257979","0.0002346038818359375","124134.00709489427","766.259303054903","0.00013399124145507812","8.271064287350501e-7","-458324.3754249386","-1083482.37544484","-958775.4644308944","-1183.6734128776473","run_o6r7w7m9"
"run_lnhnkijx","finished","-","ninamiolane","","2023-07-04T10:51:46.000Z","132","","synthetic","180","80","3","10","42","1","1","-999372.9286051248","-23794.593538217257","-17.33775782585144","-0.4128037577583677","-101.10315895080566","-0.24072180702572776","7.164496691410325","0.03980275939672403","1000985.4029195802","23832.98578379953","101.10355615615843","17.337880611419678","0.4128066812242781","0.0003972053527832031","1612.474314455476","38.39224558227323","0.0001227855682373047","0.000002923465910412017","-619.7760296991817","-141203.54757281553","-254536.24489795917","-606.0386783284742","run_lnhnkijx"
"run_392rz5q2","finished","-","ninamiolane","","2023-07-04T10:50:27.000Z","78","","synthetic","180","80","3","5","42","1","1","-1308183.93786827","-31147.236615911188","-21.28020405769348","-0.5066715251831782","-43.39415335655213","-0.20663882550739107","12.072376265600642","0.06706875703111467","1310042.9112524898","31191.497886964044","43.394373655319214","21.280317068099976","0.5066742159071422","0.00022029876708984375","1858.973384219959","44.261271052856166","0.00011301040649414062","0.0000026907239641462055","-703.7131079836278","-188303.04852320676","-196978.64826839828","-937.9935631828488","run_392rz5q2"
"run_nh6witiv","finished","-","ninamiolane","","2023-07-04T09:44:24.000Z","3961","","synthetic","162000","1280","8","10","642","0.5","3","-391797758653977.44","-610276882638.5941","-621.9788920879364","-0.9688144736572218","-3316.326337814331","-0.5165617348620454","1000.9552586143787","0.006178736164286289","391797762097444.1","610276888002.2494","3316.3268859386444","621.9791417121887","0.9688148624800448","0.0005481243133544922","3443466.6922188676","5363.655283830012","0.00024962425231933594","3.888228229273146e-7","-113780034.38782056","-2491660.5109837633","-6050317.887777294","-942.417116476214","run_nh6witiv"
"run_jio9hvlq","finished","-","ninamiolane","","2023-07-04T08:54:21.000Z","3001","","synthetic","162000","1280","8","5","642","0.5","3","-427634543245275","-666097419385.1636","-761.4220287799835","-1.1860156211526225","-2216.041473865509","-0.6903555993350495","1530.3651425723228","0.009446698410940264","427634546847348.9","666097424995.8705","2216.041752576828","761.4221739768982","1.1860158473160407","0.00027871131896972656","3602073.849312287","5610.70693039297","0.00014519691467285156","2.261634184935383e-7","-118718982.76791844","-5244064.796387521","-7951027.902480753","-2476.9557328600476","run_jio9hvlq"
"run_lvsonr4e","finished","-","ninamiolane","","2023-07-04T08:36:41.000Z","1058","","synthetic","5400","320","8","10","162","0.5","2","-9061281300.672432","-55933835.189336","-110.66987371444702","-0.6831473686076976","-935.4633672237396","-0.577446522977617","65.67255810840166","0.012161584834889196","9061338310.545635","55934187.102133565","935.4636917114258","110.66999220848083","0.6831481000523508","0.00032448768615722656","57009.87320608819","351.9127975684456","0.00011849403381347656","7.314446531696084e-7","-158942.31632328485","-933970.0080482896","-2882893.2718589273","-1779.5637480610662","run_lvsonr4e"
"run_gu0jwc6g","finished","-","ninamiolane","","2023-07-04T08:28:01.000Z","518","","synthetic","5400","320","8","5","162","0.5","2","-9765657033.186634","-60281833.5381891","-112.25195741653442","-0.6929133173860149","-392.7585482597351","-0.48488709661695695","100.46006547626212","0.018603715828937432","9765716700.666374","60282201.85596527","392.7588064670563","112.25208473205566","0.6929141032842943","0.0002582073211669922","59667.47973983567","368.31777617182513","0.00012731552124023438","7.85898279260706e-7","-163667.9993149905","-881683.2097378278","-1521097.6454293628","-1877.8983276905713","run_gu0jwc6g"
"run_y20taema","finished","-","ninamiolane","","2023-07-04T08:23:32.000Z","267","","synthetic","180","80","8","10","42","0.5","1","-617491.7188083113","-14702.183781150268","-32.75592923164368","-0.779903076943897","-222.43147802352905","-0.5295987571988787","4.600206061869832","0.02555670034372129","618527.0592781275","14726.834744717322","222.4318675994873","32.75605773925781","0.7799061366489956","0.0003895759582519531","1035.340469816212","24.65096356705267","0.0001285076141357422","0.000003059705098470052","-596.4141621141546","-254894.85157699444","-570957.917992656","-1359.423614268229","run_y20taema"
"run_y3iotdzm","finished","-","ninamiolane","","2023-07-04T08:20:52.000Z","157","","synthetic","180","80","8","5","42","0.5","1","-489327.2807473756","-11650.64954160418","-25.628856658935547","-0.6102108728317988","-118.80605745315552","-0.565743130729312","5.994226938020482","0.03330126076678046","490250.3124058273","11672.62648585303","118.80626440048218","25.628958225250244","0.6102132910773868","0.00020694732666015625","923.0316584517371","21.976944248850884","0.00010156631469726562","0.000002418245588030134","-530.1305499836885","-252336.18779342723","-574088.3894009216","-2733.754235242484","run_y3iotdzm"
"run_svlb0j9c","finished","-","ninamiolane","","2023-07-04T07:30:40.000Z","3010","","synthetic","162000","1280","5","10","642","0.5","3","-338870093820518","-527835037103.6106","-961.6793251037598","-1.497942873993395","-2026.444120645523","-0.31564550165818117","1032.0428845533838","0.006370635089835703","338870097370949.25","527835042633.8773","2026.444569349289","961.6795020103456","1.497943149548825","0.0004487037658691406","3550431.26061214","5530.2667610781","0.00017690658569335938","2.755554294289087e-7","-95444769.64809407","-5436085.4986522915","-4516218.215196599","-703.4607811832709","run_svlb0j9c"
"run_6uoh94ib","finished","-","ninamiolane","","2023-07-04T06:47:27.000Z","2591","","synthetic","162000","1280","5","5","642","0.5","3","-348433322315657.6","-542731031644.32654","-779.7391352653503","-1.2145469396656547","-1786.6894388198853","-0.5566010712834534","1484.8884676214086","0.00916597819519388","348433325810715.25","542731037088.3415","1786.6897814273834","779.7393400669098","1.214547258671199","0.0003426074981689453","3495057.6366610085","5444.015010375402","0.0002048015594482422","3.190055443119037e-7","-99693154.88843618","-3807291.005820722","-5214974.711203897","-1624.6027137706844","run_6uoh94ib"
"run_esp3my6g","finished","-","ninamiolane","","2023-07-04T06:36:20.000Z","666","","synthetic","5400","320","5","10","162","0.5","2","-12257852143.317783","-75665753.97109744","-81.97480416297913","-0.5060173096480193","-569.9474396705627","-0.3518194072040511","68.79610162864603","0.012740018820119634","12257911865.266945","75666122.62510459","569.9478168487549","81.9749698638916","0.5060183324931581","0.0003771781921386719","59721.94915701498","368.65400714206777","0.00016570091247558594","0.0000010228451387381848","-205248.69526764215","-494715.46618705033","-1511082.696586599","-932.7670966583946","run_esp3my6g"
